stock_id,name,market,industry,isin,listed_date,is_emerging
6729.TWO,機光科技,興櫃,光電業,TW0006729007,2019/07/04,1
6730.TWO,常廣,上櫃,生技醫療業,TW0006730005,2025/12/10,0
6732.TWO,昇佳電子,上櫃,半導體業,TW0006732001,2020/06/08,0
6733.TWO,博晟生醫,上櫃,生技醫療業,TW0006733009,2021/01/28,0
6734.TWO,安盛生,興櫃,生技醫療業,TW0006734007,2019/06/28,1
6735.TWO,美達科技,上櫃,其他電子業,TW0006735004,2022/04/29,0
6737.TWO,秀育,興櫃,電腦及週邊設備業,TW0006737000,2019/12/30,1
6738.TWO,鼎恒,興櫃,資訊服務業,TW0006738008,2019/08/23,1
6739.TWO,竹陞科技,上櫃,其他電子業,TW0006739006,2024/09/02,0
6741.TWO,91APP*-KY,上櫃,數位雲端,KYG6525T1022,2021/05/25,0
6742.TW,澤米,上市,光電業,TW0006742000,2023/12/05,0
6743.TW,安普新,上市,其他電子業,TW0006743008,2020/12/14,0
6744.TWO,豐技生技,興櫃,生技醫療業,TW0006744006,2019/09/25,1
6748.TWO,亞果生醫,興櫃,生技醫療業,TW0006748007,2021/07/27,1
6750.TWO,泰創工程,興櫃,其他電子業,TW0006750003,2019/11/11,1
6751.TWO,智聯服務,上櫃,資訊服務業,TW0006751001,2020/12/25,0
6752.TWO,叡揚,上櫃,資訊服務業,TW0006752009,2020/12/10,0
6753.TW,龍德造船,上市,航運業,TW0006753007,2023/03/10,0
6754.TW,匯僑設計,上市,居家生活,TW0006754005,2020/08/25,0
6755.TWO,連鋐科技,興櫃,電子零組件業,TW0006755002,2019/12/05,1
6756.TW,威鋒電子,上市,半導體業,TW0006756000,2020/12/24,0
6757.TW,台灣虎航,上市,航運業,TW0006757008,2024/11/29,0
6758.TWO,冠亞,興櫃,生技醫療業,TW0006758006,2020/01/02,1
6761.TWO,穩得,上櫃,電子零組件業,TW0006761000,2021/11/08,0
6762.TWO,達亞,上櫃,生技醫療業,TW0006762008,2020/12/18,0
6763.TWO,綠界科技*,上櫃,數位雲端,TW0006763006,2022/03/15,0
6767.TWO,台微醫,上櫃,生技醫療業,TW0006767007,2021/01/25,0
6768.TW,志強-KY,上市,運動休閒,KYG8368S1003,2021/04/22,0
6770.TW,力積電,上市,半導體業,TW0006770001,2021/12/06,0
6771.TW,平和環保-創,上市,綠能環保,TW0006771009,2024/05/17,0
6775.TWO,穎台科技,興櫃,光電業,TW0006775000,2020/05/29,1
6776.TW,展碁國際,上市,電子通路業,TW0006776008,2021/03/31,0
6780.TWO,學習王,興櫃,文化創意業,TW0006780000,2020/07/23,1
6781.TW,AES-KY,上市,電子零組件業,KYG0097V1086,2021/03/22,0
6782.TW,視陽,上市,生技醫療業,TW0006782006,2022/11/28,0
6784.TWO,天凱科技,興櫃,通信網路業,TW0006784002,2020/11/18,1
